[INFO 00:02:51] miguelsolorio.symbols activated
[INFO 00:02:51] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:02:51] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:02:51] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:02:51] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:02:53] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:02:53] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:02:53] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:02:53] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:04:02] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:04:02] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:04:02] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:04:02] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:04:36] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:04:36] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:04:36] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:04:36] 🤖 symbols.files.associations changed, updating to undefined
[INFO 00:04:36] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 00:04:36] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 00:04:36] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 00:04:36] 🤖 symbols.files.associations changed, updating to undefined
