[INFO 19:35:59] miguelsolorio.symbols activated
[INFO 19:35:59] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:35:59] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:35:59] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:35:59] 🤖 symbols.files.associations changed, updating to undefined
[INFO 19:36:01] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:36:01] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:36:01] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:36:01] 🤖 symbols.files.associations changed, updating to undefined
[INFO 19:36:01] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:36:01] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:36:01] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:36:01] 🤖 symbols.files.associations changed, updating to undefined
[INFO 19:36:01] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:36:01] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:36:01] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:36:01] 🤖 symbols.files.associations changed, updating to undefined
[INFO 19:40:36] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:40:36] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:40:36] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:40:36] 🤖 symbols.files.associations changed, updating to undefined
[INFO 19:41:42] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:41:42] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:41:42] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:41:42] 🤖 symbols.files.associations changed, updating to undefined
[INFO 19:42:57] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:42:57] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:42:57] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:42:57] 🤖 symbols.files.associations changed, updating to undefined
[INFO 19:44:11] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 19:44:11] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 19:44:11] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 19:44:11] 🤖 symbols.files.associations changed, updating to undefined
