[INFO 21:21:44] miguelsolorio.symbols activated
[INFO 21:21:44] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:21:44] symbols.folders.associations changed, updating to undefined
[INFO 21:21:44] symbols.files.associations changed, updating to undefined
[INFO 21:21:45] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:21:45] symbols.folders.associations changed, updating to undefined
[INFO 21:21:45] symbols.files.associations changed, updating to undefined
[INFO 21:21:46] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:21:46] symbols.folders.associations changed, updating to undefined
[INFO 21:21:46] symbols.files.associations changed, updating to undefined
