[INFO 21:26:50] miguelsolorio.symbols activated
[INFO 21:26:50] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:26:50] symbols.folders.associations changed, updating to undefined
[INFO 21:26:50] symbols.files.associations changed, updating to undefined
[INFO 21:26:51] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:26:51] symbols.folders.associations changed, updating to undefined
[INFO 21:26:51] symbols.files.associations changed, updating to undefined
[INFO 21:26:52] symbols.hidesExplorerArrows changed, updating to false
[INFO 21:26:52] symbols.folders.associations changed, updating to undefined
[INFO 21:26:52] symbols.files.associations changed, updating to undefined
